segment_id,source_node,target_node,road_class,lanes,free_flow_speed_kmh,capacity_vph,length_km,grade_pct,signal_id,structural_bottleneck,importance,peak_capacity_factor
R0094,N026,N025,arterial,2,40.0,2070.0,0.764,2.01,SIG068,0,1.2451651918469706,1.0
R0095,N025,N037,arterial,1,50.0,1035.0,1.706,-2.33,,0,1.0338970669401932,1.0
R0096,N037,N025,arterial,2,40.0,2070.0,1.659,3.42,SIG068,0,1.3721567859013803,1.0
R0097,N026,N027,arterial,3,30.0,3105.0,1.539,-3.33,SIG017,0,0.9382530200711819,1.0
R0098,N027,N026,arterial,2,30.0,2070.0,1.058,1.23,SIG018,0,1.3451568205687658,1.0
R0099,N026,N038,arterial,3,60.0,3105.0,0.774,-2.05,SIG010,0,1.2034343339280147,1.0
R0100,N038,N026,arterial,1,50.0,1035.0,0.758,-3.32,SIG018,0,1.3148726881177528,1.0
R0101,N027,N028,arterial,2,30.0,2070.0,1.41,1.05,SIG016,0,1.183688941153524,1.0
R0102,N028,N027,arterial,3,50.0,3105.0,1.661,0.21,SIG017,0,1.3753941420323552,1.0
R0103,N027,N039,arterial,1,60.0,1035.0,1.302,2.03,SIG009,0,1.0567720724571672,1.0
R0104,N039,N027,arterial,3,60.0,3105.0,0.942,0.83,SIG017,0,1.2659928303349766,1.0
R0105,N028,N029,arterial,2,30.0,2070.0,1.589,-3.79,SIG015,0,1.0171059501644804,1.0
R0106,N029,N028,arterial,1,60.0,1035.0,1.757,3.55,SIG016,0,1.1377943587891508,1.0
R0107,N028,N040,arterial,1,30.0,1035.0,1.733,2.26,SIG013,0,1.0480299000936448,1.0
R0108,N040,N028,arterial,3,30.0,3105.0,1.636,-2.55,SIG016,0,1.3863202795355842,1.0
R0109,N029,N030,arterial,3,60.0,3105.0,1.508,4.0,,0,1.356211695606841,1.0
R0110,N030,N029,arterial,2,50.0,2070.0,1.722,0.75,SIG015,0,1.1123741534038074,1.0
R0111,N029,N041,arterial,1,40.0,1035.0,0.817,3.84,,0,1.0611006478380116,1.0
R0112,N041,N029,arterial,3,60.0,3105.0,0.821,1.02,SIG015,0,1.1372387359935627,1.0
R0113,N030,N031,arterial,2,30.0,2070.0,0.923,-1.19,SIG014,0,1.3569469060358588,1.0
R0114,N031,N030,arterial,2,30.0,2070.0,1.155,-0.36,,0,1.3495070493183885,1.0
R0115,N030,N042,arterial,3,50.0,3105.0,0.878,1.45,,0,1.2853456097726121,1.0
R0116,N042,N030,arterial,2,40.0,2070.0,1.378,0.93,,1,1.2434103199409292,0.72
R0117,N031,N032,arterial,1,50.0,1035.0,1.469,0.34,,0,1.1639144581098557,1.0
R0118,N032,N031,arterial,2,30.0,2070.0,1.463,-0.77,SIG014,0,1.130537803540803,1.0
R0119,N031,N043,arterial,3,30.0,3105.0,1.568,3.48,SIG008,0,1.4154499769095819,1.0
R0120,N043,N031,arterial,2,30.0,2070.0,1.28,-0.98,SIG014,1,0.9736215608771036,0.72
R0121,N032,N033,arterial,2,40.0,2070.0,0.928,3.81,,0,1.1134735428260447,1.0
R0122,N033,N032,arterial,3,40.0,3105.0,1.103,3.54,,0,1.0115286072914709,1.0
R0123,N032,N044,arterial,3,40.0,3105.0,0.846,-0.57,,0,1.434661482317134,1.0
R0124,N044,N032,arterial,2,30.0,2070.0,1.346,-0.44,,0,1.3755027839842784,1.0
R0125,N033,N034,arterial,2,30.0,2070.0,0.981,2.97,SIG012,0,1.2880087788020667,1.0
R0126,N034,N033,arterial,2,30.0,2070.0,1.169,2.06,,0,1.1342132746272113,1.0
R0127,N033,N045,arterial,1,40.0,1035.0,0.822,1.75,,0,1.168386254842172,1.0
R0128,N045,N033,arterial,2,40.0,2070.0,1.544,3.85,,0,1.1670059478932115,1.0
R0129,N034,N035,arterial,2,40.0,2070.0,1.102,-2.36,SIG011,0,1.0732066151404547,1.0
R0130,N035,N034,arterial,2,30.0,2070.0,1.695,-2.65,SIG012,0,1.22283749745542,1.0
R0131,N034,N046,arterial,2,60.0,2070.0,1.152,-0.59,SIG021,0,1.082149968172775,1.0
R0132,N046,N034,arterial,2,40.0,2070.0,1.519,2.19,SIG012,0,0.9552356549282242,1.0
R0133,N035,N036,arterial,3,60.0,3105.0,1.266,1.06,SIG070,0,1.3604722360953168,1.0
R0134,N036,N035,arterial,3,40.0,3105.0,1.407,-1.08,SIG011,0,1.1047248169776653,1.0
R0135,N035,N047,arterial,2,60.0,2070.0,1.354,-1.16,,0,1.1419965336565128,1.0
R0136,N047,N035,arterial,3,30.0,3105.0,1.558,-2.53,SIG011,0,1.1330298287186316,1.0
R0137,N036,N048,arterial,2,40.0,2070.0,0.907,0.07,,0,1.382843144871977,1.0
R0138,N048,N036,arterial,2,50.0,2070.0,1.098,-0.47,SIG070,0,1.1241314114051806,1.0
R0139,N037,N038,collector,2,40.0,1800.0,1.405,-0.19,SIG010,0,0.6638785840334407,1.0
R0140,N038,N037,collector,2,40.0,1800.0,1.564,-0.91,,0,0.6921744275280497,1.0
R0141,N037,N049,collector,2,60.0,1800.0,1.199,-2.16,,0,0.7239576782845202,1.0
R0142,N049,N037,collector,1,40.0,900.0,1.217,-1.45,,0,0.8623735176289835,1.0
R0143,N038,N039,collector,2,40.0,1800.0,1.055,3.51,SIG009,0,0.6226722900236261,1.0
R0144,N039,N038,collector,2,40.0,1800.0,1.251,-1.86,SIG010,0,0.8061759767317973,1.0
R0145,N038,N050,collector,2,50.0,1800.0,0.89,-3.77,,0,0.7992327660886189,1.0
R0146,N050,N038,collector,2,50.0,1800.0,0.948,-2.87,SIG010,0,0.7957138385319643,1.0
R0147,N039,N040,arterial,3,40.0,3105.0,1.455,0.92,SIG013,0,1.0748958316640218,1.0
R0148,N040,N039,arterial,1,30.0,1035.0,1.135,-3.47,SIG009,0,1.232825641549715,1.0
R0149,N039,N051,arterial,1,40.0,1035.0,1.134,1.2,,0,1.1275336566374152,1.0
R0150,N051,N039,arterial,2,50.0,2070.0,1.116,-2.06,SIG009,0,1.206263559794474,1.0
R0151,N040,N041,collector,2,50.0,1800.0,1.703,-2.19,,0,0.7321234857966481,1.0
R0152,N041,N040,collector,2,50.0,1800.0,1.531,-0.52,SIG013,0,0.7264506983596253,1.0
R0153,N040,N052,collector,3,30.0,2700.0,1.17,-1.59,SIG020,0,0.7162198514628736,1.0
R0154,N052,N040,collector,2,40.0,1800.0,1.463,1.12,SIG013,0,0.6243813766596368,1.0
R0155,N041,N042,collector,2,60.0,1800.0,1.02,-2.01,,0,0.695000613891912,1.0
R0156,N042,N041,collector,1,40.0,900.0,1.617,0.07,,0,0.7913233183546708,1.0
R0157,N041,N053,collector,1,30.0,900.0,1.403,0.92,SIG024,0,0.5961633794642767,1.0
R0158,N053,N041,collector,2,30.0,1800.0,1.089,3.91,,0,0.5728359300689854,1.0
R0159,N042,N043,arterial,2,30.0,2070.0,1.282,1.72,SIG008,1,1.1271740774102248,0.72
R0160,N043,N042,arterial,2,50.0,2070.0,1.393,-3.64,,1,1.155712254852519,0.72
R0161,N042,N054,arterial,2,40.0,2070.0,0.979,2.41,SIG023,1,0.9386084708975924,0.72
R0162,N054,N042,arterial,2,30.0,2070.0,1.321,-3.14,,1,1.1202475752571532,0.72
R0163,N043,N044,collector,2,30.0,1800.0,1.541,3.1,,0,0.6226726518055096,1.0
R0164,N044,N043,collector,2,30.0,1800.0,1.061,0.56,SIG008,0,0.6395394765680767,1.0
R0165,N043,N055,collector,3,30.0,2700.0,0.765,-0.76,SIG019,0,0.6515347591040295,1.0
R0166,N055,N043,collector,3,30.0,2700.0,1.566,-3.04,SIG008,0,0.7702296105201919,1.0
R0167,N044,N045,collector,1,50.0,900.0,1.323,-2.61,,0,0.6520476168497203,1.0
R0168,N045,N044,collector,3,40.0,2700.0,1.366,-2.45,,0,0.8215550291606014,1.0
R0169,N044,N056,collector,2,50.0,1800.0,0.8,-2.63,SIG022,0,0.6468653718173099,1.0
R0170,N056,N044,collector,2,50.0,1800.0,1.606,1.73,,0,0.8591839317927595,1.0
R0171,N045,N046,arterial,2,50.0,2070.0,1.559,-0.25,SIG021,0,1.1284178194378434,1.0
R0172,N046,N045,arterial,2,40.0,2070.0,1.48,-2.82,,0,1.410565776553884,1.0
R0173,N045,N057,arterial,2,60.0,2070.0,1.398,3.76,SIG038,0,1.2171225209868646,1.0
R0174,N057,N045,arterial,2,30.0,2070.0,1.7,-2.63,,0,1.2042075520062447,1.0
R0175,N046,N047,collector,3,50.0,2700.0,1.001,-0.14,,0,0.7408068393698851,1.0
R0176,N047,N046,collector,3,50.0,2700.0,1.185,-0.34,SIG021,0,0.6053712097369905,1.0
R0177,N046,N058,collector,3,40.0,2700.0,0.824,-1.77,SIG037,0,0.627756978779186,1.0
R0178,N058,N046,collector,2,60.0,1800.0,1.077,3.57,SIG021,0,0.6295636071302226,1.0
R0179,N047,N048,collector,2,50.0,1800.0,0.901,-0.42,,0,0.7471871285790281,1.0
R0180,N048,N047,collector,2,50.0,1800.0,0.981,2.62,,0,0.7781191201666932,1.0
R0181,N047,N059,collector,2,30.0,1800.0,0.91,-2.09,SIG036,0,0.7936701344419302,1.0
R0182,N059,N047,collector,2,40.0,1800.0,1.731,-0.18,,0,0.7658491469700296,1.0
R0183,N048,N060,collector,2,30.0,1800.0,1.012,0.17,SIG074,0,0.7870463824842643,1.0
R0184,N060,N048,collector,3,60.0,2700.0,1.217,-0.14,,0,0.5998162809558358,1.0
R0185,N049,N050,collector,2,60.0,1800.0,1.331,0.91,,0,0.7299937255933459,1.0
R0186,N050,N049,collector,1,60.0,900.0,1.232,-2.3,,0,0.7548859278327044,1.0
R0187,N049,N061,collector,2,30.0,1800.0,1.728,-0.15,,0,0.6254919693013721,1.0
R0188,N061,N049,collector,2,30.0,1800.0,1.658,-2.39,,0,0.7659817084975262,1.0
R0189,N050,N051,collector,1,40.0,900.0,0.954,3.52,,0,0.7739911206098025,1.0
R0190,N051,N050,collector,2,50.0,1800.0,1.484,-1.72,,0,0.7989704654891693,1.0
R0191,N050,N062,collector,2,50.0,1800.0,1.23,3.53,SIG035,0,0.5647391984673684,1.0
R0192,N062,N050,collector,2,30.0,1800.0,1.678,0.11,,0,0.6602128171565966,1.0
R0193,N051,N052,arterial,2,40.0,2070.0,1.723,2.8,SIG020,0,1.2828248528708497,1.0
R0194,N052,N051,arterial,2,60.0,2070.0,1.216,-1.6,,0,1.1442345787779007,1.0
R0195,N051,N063,arterial,3,30.0,3105.0,1.218,-3.6,SIG033,0,1.3862036774909745,1.0
R0196,N063,N051,arterial,1,50.0,1035.0,1.678,-0.55,,0,1.0657034689816922,1.0
R0197,N052,N053,collector,1,40.0,900.0,1.237,-2.28,SIG024,0,0.6181106508883075,1.0
R0198,N053,N052,collector,2,30.0,1800.0,1.222,-1.62,SIG020,0,0.7117895764230582,1.0
R0199,N052,N064,collector,2,60.0,1800.0,1.199,-0.05,SIG034,0,0.6216566698950137,1.0
R0200,N064,N052,collector,2,30.0,1800.0,1.723,3.79,SIG020,0,0.7498648782886278,1.0
R0201,N053,N054,collector,1,30.0,900.0,1.416,-1.61,SIG023,0,0.7394162433838496,1.0
R0202,N054,N053,collector,2,60.0,1800.0,1.452,2.9,SIG024,0,0.683066794871583,1.0
R0203,N053,N065,collector,3,40.0,2700.0,1.279,-3.62,SIG032,0,0.8413517835723037,1.0
R0204,N065,N053,collector,3,30.0,2700.0,1.754,-1.13,SIG024,0,0.6589344049453227,1.0
R0205,N054,N055,arterial,3,50.0,3105.0,0.981,-3.15,SIG019,1,1.0050274014089906,0.72
R0206,N055,N054,arterial,1,30.0,1035.0,0.846,-2.99,SIG023,1,1.3932149811902024,0.72
R0207,N054,N066,arterial,2,50.0,2070.0,0.761,1.61,,1,1.0133424161443916,0.72
R0208,N066,N054,arterial,2,60.0,2070.0,1.79,-3.6,SIG023,1,1.0851433631037166,0.72
R0209,N055,N056,collector,1,30.0,900.0,1.009,0.04,SIG022,0,0.8411973145650138,1.0
R0210,N056,N055,collector,2,50.0,1800.0,1.738,-0.98,SIG019,0,0.8225931522660588,1.0
R0211,N055,N067,collector,2,60.0,1800.0,1.159,-3.96,SIG029,0,0.6613278421033805,1.0
R0212,N067,N055,collector,2,30.0,1800.0,0.89,0.3,SIG019,0,0.6381451859956866,1.0
R0213,N056,N057,collector,2,60.0,1800.0,1.115,3.73,SIG038,0,0.6139144351069896,1.0
R0214,N057,N056,collector,3,30.0,2700.0,0.78,-3.44,SIG022,0,0.7708762602825742,1.0
R0215,N056,N068,collector,2,60.0,1800.0,1.337,2.16,SIG028,0,0.5802283259279823,1.0
R0216,N068,N056,collector,3,30.0,2700.0,1.672,2.8,SIG022,0,0.7067105704200736,1.0
R0217,N057,N058,arterial,2,50.0,2070.0,1.376,1.49,SIG037,0,0.9718779184094245,1.0
R0218,N058,N057,arterial,3,60.0,3105.0,1.671,-3.22,SIG038,0,1.3260670616058055,1.0
R0219,N057,N069,arterial,2,30.0,2070.0,1.626,-0.78,SIG031,0,1.0369100559687257,1.0
R0220,N069,N057,arterial,2,40.0,2070.0,1.217,-1.21,SIG038,0,1.1914757262343125,1.0
R0221,N058,N059,collector,1,40.0,900.0,1.635,1.11,SIG036,0,0.7242744804018795,1.0
R0222,N059,N058,collector,3,40.0,2700.0,0.886,2.62,SIG037,0,0.6960414811213196,1.0
R0223,N058,N070,collector,1,40.0,900.0,0.865,3.64,SIG030,0,0.5629345078940322,1.0
R0224,N070,N058,collector,3,50.0,2700.0,1.077,1.72,SIG037,0,0.7939060091292124,1.0
R0225,N059,N060,collector,2,60.0,1800.0,0.995,3.43,SIG074,0,0.8373218488562396,1.0
R0226,N060,N059,collector,1,30.0,900.0,1.723,-3.6,SIG036,0,0.608101501405558,1.0
R0227,N059,N071,collector,2,60.0,1800.0,0.975,3.44,,0,0.6683024967362503,1.0
R0228,N071,N059,collector,3,40.0,2700.0,1.011,0.75,SIG036,0,0.8456118406666513,1.0
R0229,N060,N072,collector,2,40.0,1800.0,1.078,1.68,SIG076,0,0.7617190416488229,1.0
R0230,N072,N060,collector,2,50.0,1800.0,0.783,-2.26,SIG074,0,0.784482863003059,1.0
R0231,N061,N062,collector,2,50.0,1800.0,1.718,-0.59,SIG035,0,0.6542518333358052,1.0
R0232,N062,N061,collector,2,30.0,1800.0,1.705,-2.66,,0,0.6236621010572024,1.0
R0233,N061,N073,collector,3,40.0,2700.0,1.026,0.56,SIG075,0,0.5679165534736873,1.0
R0234,N073,N061,collector,2,50.0,1800.0,1.373,0.84,,0,0.6060557557529869,1.0
R0235,N062,N063,collector,1,60.0,900.0,1.341,-3.56,SIG033,0,0.6180317623490081,1.0
R0236,N063,N062,collector,3,60.0,2700.0,1.55,-1.98,SIG035,0,0.5937923500292815,1.0
R0237,N062,N074,collector,3,30.0,2700.0,1.287,1.72,SIG026,0,0.5747697762128082,1.0
R0238,N074,N062,collector,2,60.0,1800.0,0.892,-3.18,SIG035,0,0.7334296675578459,1.0
R0239,N063,N064,arterial,1,50.0,1035.0,0.787,-1.94,SIG034,0,1.3878356005574157,1.0
R0240,N064,N063,arterial,2,30.0,2070.0,1.391,-2.74,SIG033,0,1.1072915175192644,1.0
R0241,N063,N075,arterial,2,60.0,2070.0,1.476,-1.03,SIG027,0,1.2973123975960212,1.0
R0242,N075,N063,arterial,2,30.0,2070.0,1.257,-3.96,SIG033,0,1.0080571850987943,1.0
R0243,N064,N065,collector,2,40.0,1800.0,0.977,-2.78,SIG032,0,0.7960949927462735,1.0
R0244,N065,N064,collector,2,40.0,1800.0,1.533,-0.56,SIG034,0,0.6577483067780778,1.0
R0245,N064,N076,collector,2,30.0,1800.0,0.815,2.29,,0,0.7760284042779744,1.0
R0246,N076,N064,collector,3,40.0,2700.0,1.323,-1.31,SIG034,0,0.6680647276518019,1.0
R0247,N065,N066,collector,2,30.0,1800.0,1.322,-1.11,,0,0.5962591134047974,1.0
R0248,N066,N065,collector,2,40.0,1800.0,0.957,-1.11,SIG032,0,0.6746196830321096,1.0
R0249,N065,N077,collector,2,60.0,1800.0,1.314,2.76,SIG056,0,0.567366647463557,1.0
R0250,N077,N065,collector,2,60.0,1800.0,0.954,-1.38,SIG032,0,0.8413143252869435,1.0
R0251,N066,N067,arterial,2,40.0,2070.0,1.391,0.4,SIG029,1,1.067662202152795,0.72
R0252,N067,N066,arterial,1,60.0,1035.0,1.165,2.77,,1,1.4238012611626163,0.72
R0253,N066,N078,arterial,2,50.0,2070.0,1.417,3.61,SIG058,1,1.0133264932173498,0.72
R0254,N078,N066,arterial,1,30.0,1035.0,0.975,1.21,,1,1.4261256929459745,0.72
R0255,N067,N068,collector,3,60.0,2700.0,1.487,1.17,SIG028,0,0.6280885618256132,1.0
R0256,N068,N067,collector,3,60.0,2700.0,1.347,-0.52,SIG029,0,0.5914899437314629,1.0
R0257,N067,N079,collector,3,50.0,2700.0,1.386,2.07,SIG057,0,0.7608778971954675,1.0
R0258,N079,N067,collector,2,60.0,1800.0,1.071,-1.77,SIG029,0,0.564114002094531,1.0
R0259,N068,N069,collector,2,50.0,1800.0,0.994,-3.66,SIG031,0,0.7914819892090794,1.0
R0260,N069,N068,collector,2,50.0,1800.0,1.765,-0.52,SIG028,0,0.7853971760896794,1.0
R0261,N068,N080,collector,2,40.0,1800.0,1.735,-0.08,SIG059,0,0.7033594248499614,1.0
R0262,N080,N068,collector,1,60.0,900.0,1.742,2.73,SIG028,0,0.6761203914844227,1.0
R0263,N069,N070,arterial,2,40.0,2070.0,1.723,3.95,SIG030,0,0.9899835924417376,1.0
R0264,N070,N069,arterial,2,60.0,2070.0,1.361,-2.09,SIG031,0,1.144600801542996,1.0
R0265,N069,N081,arterial,3,50.0,3105.0,0.785,-1.94,SIG060,0,1.25026933111039,1.0
R0266,N081,N069,arterial,3,30.0,3105.0,1.043,3.37,SIG031,0,1.1741492458295635,1.0
R0267,N070,N071,collector,2,50.0,1800.0,1.727,0.82,,0,0.7546861597402076,1.0
R0268,N071,N070,collector,2,60.0,1800.0,1.012,2.8,SIG030,0,0.7457115414006541,1.0
R0269,N070,N082,collector,3,50.0,2700.0,0.943,2.27,,0,0.6425376260294974,1.0
